metric,hybrid,promptOnly,absoluteDelta,relativeDifference,percentagePointDelta
total,4747963.0,4747963.0,0.0,0.0,
validTotal,4747963.0,4747963.0,0.0,0.0,
invalidTotal,0.0,0.0,0.0,,
validResponseRate,1.0,1.0,0.0,,0.0
invalidRate,0.0,0.0,0.0,,0.0
accuracy,0.9722817974782028,0.8571888618340118,0.11509293564419099,,11.5092935644191
precision,0.7283044691267042,0.33945692347558065,0.38884754565112356,,38.88475456511236
recall,0.9926246914997418,1.0,-0.007375308500258249,,-0.7375308500258249
f1,0.8401659005204127,0.5068575443169437,0.333308356203469,,33.330835620346896
specificity,0.9706705507417542,0.8458775911733666,0.12479295956838765,,12.479295956838765
falsePositiveRate,0.029329449258245762,0.15412240882663336,-0.1247929595683876,,-12.47929595683876
falseNegativeRate,0.007375308500258279,0.0,0.007375308500258279,,0.7375308500258279
balancedAccuracy,0.981647621120748,0.9229387955866832,0.05870882553406476,,5.870882553406476
MCC,0.8372531638078912,0.535853529181852,0.30139963462603914,,30.139963462603912
TP,345890.0,348460.0,-2570.0,-0.007375308500258279,
TN,4270468.0,3721441.0,549027.0,0.14753075488769002,
FP,129035.0,678062.0,-549027.0,-0.8097002928935702,
FN,2570.0,0.0,2570.0,,
directAccuracy,0.8616835297421173,0.9374368079702103,-0.07575327822809308,,-7.575327822809308
directPrecision,0.13000113986093698,0.3103167051787413,-0.18031556531780435,,-18.031556531780435
directRecall,0.9978127734033246,1.0,-0.0021872265966753623,,-0.21872265966753623
directF1,0.23003227107704718,0.4736514522821576,-0.24361918120511042,,-24.361918120511042
directLlmCalls,105392.0,81102.0,24290.0,0.2994993958225444,
cacheHitCount,4637564.0,4666861.0,-29297.0,-0.006277667151432194,
cacheHitRate,0.9767481338839414,0.9829185695002257,-0.0061704356162842755,,-0.6170435616284276
noDirectLlmCount,4642571.0,4666861.0,-24290.0,-0.005204783257954329,
noDirectLlmRate,0.9778026913857585,0.9829185695002257,-0.005115878114467232,,-0.5115878114467232
templateCacheSize,46615.0,46632.0,-17.0,-3.645565277062961E-4,
observedTemplateCount,46634.0,46634.0,0.0,0.0,
templateLabelConflictCount,0.0,0.0,0.0,,
averageResponseTimePerRecord,7.865067398376946,5.586423904314334,2.278643494062612,0.40788947152808086,
averageDirectLlmResponseTime,354.32527136784574,327.0466079751424,27.278663392703322,0.08340910049975712,
p50DirectLlmLatency,340.0,345.0,-5.0,-0.014492753623188406,
p95DirectLlmLatency,469.0,402.0,67.0,0.16666666666666666,
p99DirectLlmLatency,510.0,429.0,81.0,0.1888111888111888,
processingDurationMs,3.781904E7,2.7004034E7,1.0815006E7,0.400495940717598,
throughputLinesPerSecond,125.54424966894982,175.82421204180088,-50.27996237285106,-0.28596722708984684,
totalPromptTokens,1.34316237E8,4.0051317E7,9.426492E7,2.3536035032256244,
totalOutputTokens,4158908.0,3105104.0,1053804.0,0.33937800473027635,
totalTokens,1.38475145E8,4.3156421E7,9.5318724E7,2.2086800015228323,
