templateKey,normalizedTemplate,bglCategory,bglComponent,bglSeverity,totalRecords,normalTruthCount,anomalyTruthCount,TP,TN,FP,FN,errorCount,errorRate,correctCount,accuracy,directLlmCount,directGuardCount,cacheHitCount,cacheFromLlmCount,cacheFromGuardCount,cacheableCount,nonCacheableCount,validOutputCount,invalidOutputCount,labelConflict
"bgl|category=ras|component=mmcs|severity=error|message=idoproxydb hit assert condition: assert expression=<num> source file=idotransportmgr.cpp source line=<num> function=int idotransportmgr::sendpacket(idoudpmgr*, bglctlpavtrace*)","idoproxydb hit ASSERT condition: ASSERT expression=<NUM> Source file=idotransportmgr.cpp Source line=<NUM> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",RAS,MMCS,ERROR,84168,84168,0,0,0,84168,0,84168,1.0,0,0.0,1,0,84167,84167,0,84168,0,84168,0,false
bgl|category=ras|component=kernel|severity=fatal|message=instruction address: <hex>,instruction address: <HEX>,RAS,KERNEL,FATAL,47563,47563,0,0,0,47563,0,47563,1.0,0,0.0,1,0,47562,47562,0,47563,0,47563,0,false
"bgl|category=ras|component=app|severity=fatal|message=ciod: error loading <path>: invalid or missing program image, no such file or directory","ciod: Error loading <PATH>: invalid or missing program image, No such file or directory",RAS,APP,FATAL,43480,43480,0,0,0,43480,0,43480,1.0,0,0.0,1,0,43479,43479,0,43480,0,43480,0,false
"bgl|category=ras|component=app|severity=fatal|message=ciod: error loading <path>: invalid or missing program image, permission denied","ciod: Error loading <PATH>: invalid or missing program image, Permission denied",RAS,APP,FATAL,42528,42528,0,0,0,42528,0,42528,1.0,0,0.0,1,0,42527,42527,0,42528,0,42528,0,false
bgl|category=ras|component=app|severity=fatal|message=ciod: login chdir(<path>) failed: no such file or directory,ciod: LOGIN chdir(<PATH>) failed: No such file or directory,RAS,APP,FATAL,39671,39671,0,0,0,39671,0,39671,1.0,0,0.0,1,0,39670,39670,0,39671,0,39671,0,false
"bgl|category=ras|component=app|severity=fatal|message=ciod: error loading <path>: invalid or missing program image, exec format error","ciod: Error loading <PATH>: invalid or missing program image, Exec format error",RAS,APP,FATAL,22024,22024,0,0,0,22024,0,22024,1.0,0,0.0,1,0,22023,22023,0,22024,0,22024,0,false
bgl|category=null|component=discovery|severity=warning|message=node card is not fully functional,Node card is not fully functional,NULL,DISCOVERY,WARNING,17364,17364,0,0,0,17364,0,17364,1.0,0,0.0,1,0,17363,17363,0,17364,0,17364,0,false
bgl|category=null|component=discovery|severity=severe|message=can not get assembly information for node card,Can not get assembly information for node card,NULL,DISCOVERY,SEVERE,17305,17305,0,0,0,17305,0,17305,1.0,0,0.0,1,0,17304,17304,0,17305,0,17305,0,false
bgl|category=null|component=discovery|severity=error|message=node card status: no alerts are active. clock mode is low. clock select is midplane. phy jtag reset is asserted. asic jtag reset is asserted. temperature mask is not active. no temperature error. temperature limit error latch is clear. pgood is not asserted. pgood error latch is active. mpgood is not ok. mpgood error latch is active. the <num> volt rail is ok. the <num> volt rail is ok.,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <NUM> volt rail is OK. The <NUM> volt rail is OK.,NULL,DISCOVERY,ERROR,16896,16896,0,0,0,16896,0,16896,1.0,0,0.0,1,0,16895,16895,0,16896,0,16896,0,false
bgl|category=ras|component=kernel|severity=fatal|message=data address: <hex>,data address: <HEX>,RAS,KERNEL,FATAL,14497,14497,0,0,0,14497,0,14497,1.0,0,0.0,1,0,14496,14496,0,14497,0,14497,0,false
bgl|category=ras|component=kernel|severity=info|message=machine check dcr read timeout (mc=e08x iar <hex> lr <hex>),MACHINE CHECK DCR read timeout (mc=e08x iar <HEX> lr <HEX>),RAS,KERNEL,INFO,14481,14481,0,0,0,14481,0,14481,1.0,0,0.0,1,0,14480,14480,0,14481,0,14481,0,false
bgl|category=ras|component=kernel|severity=fatal|message=exception syndrome register: <hex>,exception syndrome register: <HEX>,RAS,KERNEL,FATAL,14355,14355,0,0,0,14355,0,14355,1.0,0,0.0,1,0,14354,14354,0,14355,0,14355,0,false
bgl|category=ras|component=kernel|severity=fatal|message=machine check: i-fetch......................<zero>,machine check: i-fetch......................<ZERO>,RAS,KERNEL,FATAL,14355,14355,0,0,0,14355,0,14355,1.0,0,0.0,1,0,14354,14354,0,14355,0,14355,0,false
bgl|category=ras|component=kernel|severity=fatal|message=floating pt ex mode <num> enable......<num>,floating pt ex mode <NUM> enable......<NUM>,RAS,KERNEL,FATAL,13038,13038,0,0,0,13038,0,13038,1.0,0,0.0,1,0,13037,13037,0,13038,0,13038,0,false
bgl|category=ras|component=kernel|severity=fatal|message=program interrupt: illegal instruction......<zero>,program interrupt: illegal instruction......<ZERO>,RAS,KERNEL,FATAL,10250,10250,0,0,0,10250,0,10250,1.0,0,0.0,1,0,10249,10249,0,10250,0,10250,0,false
bgl|category=ras|component=kernel|severity=fatal|message=machine state register: <hex>,machine state register: <HEX>,RAS,KERNEL,FATAL,6580,6580,0,0,0,6580,0,6580,1.0,0,0.0,1,0,6579,6579,0,6580,0,6580,0,false
bgl|category=ras|component=kernel|severity=fatal|message=wait state enable.................<num>,wait state enable.................<NUM>,RAS,KERNEL,FATAL,6561,6561,0,0,0,6561,0,6561,1.0,0,0.0,1,0,6560,6560,0,6561,0,6561,0,false
